City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Viransehir,TR,78.96,broken clouds,37.2353,39.7631,Viranşehir Öğretmenevi
140,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
141,Waddan,LY,65.71,clear sky,29.1614,16.139,محل الشريف محمد العايب
142,Oriximina,BR,75.76,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
143,Tra Vinh,VN,86.31,overcast clouds,9.9347,106.3453,Hồng Ân
144,Jalu,LY,70.45,clear sky,29.0331,21.5482,صاحبة الفخامة
146,Bilma,NE,82.9,few clouds,18.6853,12.9164,Expeditions Ténére voyages
147,Kihurio,TZ,70.83,broken clouds,-4.4667,38.0667,
149,East London,ZA,61.74,clear sky,-33.0153,27.9116,Tu Casa
150,Koupela,BF,76.73,broken clouds,12.1794,-0.3517,La maison des femmes prostituées ou Bourdelles de tenkodogo
151,Katsuura,JP,69.58,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
152,Karjat,IN,83.41,broken clouds,18.9167,73.3333,Pinewood Resort Karjat
153,San Rafael Del Sur,NI,77.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
157,Namibe,AO,64.71,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
159,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
161,Atuona,PF,76.86,few clouds,-9.8,-139.0333,Villa Enata
162,Teguise,ES,68.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
166,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
167,Gizo,SB,85.87,overcast clouds,-8.103,156.8419,Imagination Island
170,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
171,Hervey Bay,AU,74.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
172,Diplo,PK,88.43,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
173,Kavaratti,IN,81.46,broken clouds,10.5669,72.642,Green leaf
177,Serenje,ZM,68.31,clear sky,-13.2325,30.2352,The Kabaso's
181,Saint Anthony,US,66.09,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
183,Araouane,ML,89.06,clear sky,18.9048,-3.5265,
186,Menongue,AO,61.2,clear sky,-14.6585,17.691,Ritz Lauca
189,Sola,VU,81.16,few clouds,-13.8833,167.55,Leumerus Bungalows
191,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
193,Oliver,CA,67.91,overcast clouds,49.1831,-119.5524,Cactus Tree Inn
196,Nchelenge,ZM,73.69,broken clouds,-9.3451,28.734,KD Travellers Home
198,Griffith,US,60.73,clear sky,41.5284,-87.4237,Apartment above Depot Bar
199,Nouadhibou,MR,73.76,broken clouds,20.931,-17.0347,El Medina
200,Turbat,PK,88.45,clear sky,26.0023,63.044,Mubashar Quarters
201,Aguimes,ES,73.65,overcast clouds,27.9054,-15.4461,Hotel Villa de Aguimes
202,Moron,AR,60.96,broken clouds,-34.6534,-58.6198,Hotel Morón
204,Blyth,GB,61.59,clear sky,55.1271,-1.5086,Carlton house
205,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
206,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
207,Vila Velha,BR,69.75,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
210,Nagua,DO,77.74,overcast clouds,19.3832,-69.8474,Hotel Cambri
212,Sao Felix Do Xingu,BR,74.7,clear sky,-6.6447,-51.995,Rio Xingu Camping
216,Tucupita,VE,73.58,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
218,Sao Filipe,CV,77.92,broken clouds,14.8961,-24.4956,Hotel Xaguate
225,Mountain Home,US,60.28,clear sky,43.133,-115.6912,Mountain Home Inn
227,Pachora,IN,84.2,broken clouds,20.6667,75.35,Vishal Avinash patil
229,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
230,Puerto Madryn,AR,60.62,broken clouds,-42.7692,-65.0385,Hotel Tolosa
231,Mouila,GA,72.72,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
232,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
234,Half Moon Bay,US,63.1,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
236,Douglas,US,67.59,overcast clouds,41.3,-96.167,Hilton Garden Inn Omaha West
239,Pandamatenga,BW,73.09,clear sky,-18.5278,25.627,Wildtrack Safaris Eco Lodge
241,Mantua,IT,63.64,clear sky,45.1667,10.7833,Hotel la Favorita
243,Channagiri,IN,80.56,broken clouds,14.0333,75.9333,Sri Apsara Lodge
244,Vila Franca Do Campo,PT,71.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
245,Carnarvon,AU,72.12,few clouds,-24.8667,113.6333,Hospitality Carnarvon
246,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
247,Platanos,GR,67.08,clear sky,37.6667,21.6167,Hotel Kronio
249,Cockburn Town,TC,82.29,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
